trade_id,direction,entry,sl,tp,risk_points,reward_points,rr,entry_bar,entry_bar_time,exit_bar,exit_bar_time,status,exit_reason,exit_price,pnl_points,pnl_dollars,structure_id
T0089,BUY,6776.5,6771.55,6783.0,4.95,6.5,1.31,6445,2025-10-06 13:15:00,6456,2025-10-06 16:00:00,SL_HIT,SL,6771.55,-4.95,-24.75,cb8f6837-29cc-45e1-a562-15f04f264585
T0090,BUY,6773.75,6766.05,6783.5,7.7,9.75,1.27,6458,2025-10-06 16:30:00,6461,2025-10-06 17:15:00,TP_HIT,TP,6783.5,9.75,48.75,9fbe5ac2-9293-44f5-8d5a-77cf55d6ce46
T0091,BUY,6793.75,6781.3,6806.2,12.45,12.45,1.0,6463,2025-10-06 17:45:00,6488,2025-10-07 01:00:00,SL_HIT,SL,6781.3,-12.45,-62.25,LG_15_20251006_141500_BuySide
T0092,BUY,6782.5,6775.05,6789.95,7.45,7.45,1.0,6501,2025-10-07 04:15:00,6502,2025-10-07 04:30:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,c842e3a2-1128-4fc2-8e16-3d14b01ceb90
T0093,BUY,6791.0,6778.55,6803.45,12.45,12.45,1.0,6511,2025-10-07 06:45:00,6540,2025-10-07 14:00:00,EXPIRED,estructura no existe,0.0,0.0,0.0,21ff8e1d-74e6-4e22-afb3-850a8ffe9f0b
T0094,BUY,6798.75,6784.05,6813.45,14.7,14.7,1.0,6545,2025-10-07 15:15:00,6550,2025-10-07 16:30:00,SL_HIT,SL,6784.05,-14.7,-73.5,bf01d6ca-bb8c-4ff2-abfe-f6f8248f862a
T0095,BUY,6788.25,6773.8,6802.7,14.45,14.45,1.0,6550,2025-10-07 16:30:00,6551,2025-10-07 16:45:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,607a41fc-a71f-4b98-b34c-69289c160d66
T0096,SELL,6766.75,6775.5,6755.75,8.75,11.0,1.26,6605,2025-10-08 07:15:00,6629,2025-10-08 13:15:00,SL_HIT,SL,6775.5,-8.75,-43.75,c8be6e6e-381c-48a4-a78d-cbbd1fb8a4c0
T0097,SELL,6770.0,6779.5,6759.25,9.5,10.75,1.13,6640,2025-10-08 16:00:00,6641,2025-10-08 16:15:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,d643c908-5f6e-48fd-b86c-b09f134a0aff
T0098,BUY,6782.75,6769.05,6796.45,13.7,13.7,1.0,6643,2025-10-08 16:45:00,6663,2025-10-08 21:45:00,EXPIRED,estructura no existe,0.0,0.0,0.0,49dc94be-3873-459e-870f-a60eb3594416
T0099,BUY,6795.25,6784.3,6806.2,10.95,10.95,1.0,6663,2025-10-08 21:45:00,6683,2025-10-09 03:45:00,EXPIRED,estructura no existe,0.0,0.0,0.0,3ab6b71b-10b4-42bb-909b-28c0b36ea898
